,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
660,2.0,0.9967373572593801,0.9966499162479062,1.0,0.9983221476510068,1.0,0.27224797280625185,31.6,16.3,9.55,0.5145782627233905,1.0,0.9380097879282219
661,3.0,1.0,1.0,1.0,1.0,1.0,0.2857853424500851,24.3,12.65,8.5,-0.010371002220724665,1.0,1.4551386623164764
662,4.0,0.9934747145187602,1.0,0.9932998324958124,0.9966386554621849,1.0,0.23368012354637294,19.3,10.15,7.6,0.5653016108974173,0.8236842105263158,2.566068515497553
663,5.0,1.0,1.0,1.0,1.0,1.0,0.061502413761472086,22.6,11.8,8.8,-0.2249061639197376,0.8305263157894736,3.8792822185970635
664,6.0,1.0,1.0,1.0,1.0,1.0,0.23968176741215919,23.4,12.2,8.25,-0.31428373099222723,0.7368421052631577,3.900489396411093
665,7.0,1.0,1.0,1.0,1.0,1.0,0.35060747171104917,7.4,4.2,2.65,-0.005263157894736842,0.5416040100250626,6.0
666,8.0,1.0,1.0,1.0,1.0,1.0,0.4407272507505021,5.7,3.35,2.15,-0.005263157894736842,0.29384085213032585,5.597063621533442
667,9.0,1.0,1.0,1.0,1.0,1.0,0.519908140796414,4.4,2.7,1.7,0.0,0.32675438596491224,7.0
668,10.0,1.0,1.0,1.0,1.0,1.0,0.5590609659956147,3.9,2.45,1.45,0.0,0.22982456140350876,6.99184339314845
669,11.0,1.0,1.0,1.0,1.0,1.0,0.49126153816093815,4.8,2.9,1.7,0.0,0.3394736842105263,7.969004893964111
670,12.0,1.0,1.0,1.0,1.0,1.0,0.6869513914215747,4.5,2.75,1.7,0.0,0.20403508771929824,7.650897226753671
671,13.0,1.0,1.0,1.0,1.0,1.0,0.55479190199296,4.6,2.8,1.65,0.0,0.23236842105263159,9.99021207177814
672,14.0,1.0,1.0,1.0,1.0,1.0,0.4705085389851429,4.5,2.75,1.65,0.0,0.19946950710108607,10.871125611745514
673,15.0,1.0,1.0,1.0,1.0,1.0,0.0,5.2,3.1,1.95,0.0,0.1835296574770259,15.0
674,16.0,1.0,1.0,1.0,1.0,1.0,0.36203831765389394,4.3,2.65,1.65,0.0,0.22166666666666668,15.0
675,17.0,1.0,1.0,1.0,1.0,1.0,0.1698327095944837,4.8,2.9,1.8,0.0,0.19819757727652462,15.898858075040783
676,18.0,1.0,1.0,1.0,1.0,1.0,0.0,5.4,3.2,2.15,0.0,0.19555555555555554,18.0
677,19.0,1.0,1.0,1.0,1.0,1.0,0.5144702658281322,4.8,2.9,1.85,-0.005263157894736842,0.17198203842940687,17.0
678,20.0,1.0,1.0,1.0,1.0,1.0,0.3882541093489104,4.6,2.8,1.7,0.0,0.2305889724310777,17.56606851549755
679,21.0,1.0,1.0,1.0,1.0,1.0,0.5537136302766035,6.3,3.65,2.5,0.0,0.1474937343358396,16.929853181076673
680,22.0,1.0,1.0,1.0,1.0,1.0,0.12562312780546359,5.7,3.35,2.2,-0.005263157894736842,0.14984335839598997,20.96084828711256
681,23.0,1.0,1.0,1.0,1.0,1.0,0.3753938048217684,5.2,3.1,1.95,0.0,0.20175438596491227,20.99673735725938
682,24.0,1.0,1.0,1.0,1.0,1.0,0.0,6.2,3.6,2.2,-0.005263157894736842,0.17369731146046935,24.0
683,25.0,1.0,1.0,1.0,1.0,1.0,0.0,4.3,2.65,1.65,-0.005263157894736842,0.19114035087719297,25.0
684,26.0,1.0,1.0,1.0,1.0,1.0,0.49632221186779746,4.9,2.95,1.85,0.031578947368421054,0.18704260651629073,22.965742251223492
685,27.0,1.0,1.0,1.0,1.0,1.0,0.32237270680063446,5.2,3.1,1.85,-0.005263157894736842,0.1901670843776107,25.207177814029365
686,28.0,1.0,1.0,1.0,1.0,1.0,0.288719325081861,5.4,3.2,2.15,0.0,0.14970551378446115,25.97226753670473
687,29.0,1.0,1.0,1.0,1.0,1.0,0.0,5.3,3.15,2.0,0.01041646060278684,0.1381453634085213,29.0
688,30.0,1.0,1.0,1.0,1.0,1.0,0.35785037170812856,5.9,3.45,2.2,0.0,0.13939223057644112,29.0
689,31.0,1.0,1.0,1.0,1.0,1.0,0.5677960489550911,6.2,3.6,2.45,-0.021052631578947368,0.20060359231411865,27.814029363784666
690,32.0,1.0,1.0,1.0,1.0,1.0,0.18396687296081463,6.1,3.55,2.45,0.005263157894736842,0.16156015037593985,30.98042414355628
691,33.0,1.0,1.0,1.0,1.0,1.0,0.726710899370063,5.0,3.0,1.9,0.0,0.11992481203007518,27.538336052202283
692,34.0,1.0,1.0,1.0,1.0,1.0,0.229671949759338,5.8,3.4,2.25,-0.015789473684210527,0.11760233918128656,32.58564437194127
693,35.0,1.0,1.0,1.0,1.0,1.0,0.6254706503330825,4.5,2.75,1.65,-0.005263157894736842,0.137468671679198,29.95921696574225
694,36.0,1.0,1.0,1.0,1.0,1.0,0.7175363473137063,3.9,2.45,1.45,0.0,0.10394736842105264,30.95595432300163
695,37.0,1.0,1.0,1.0,1.0,1.0,0.6954279274233682,4.4,2.7,1.6,0.0,0.11706766917293232,30.95269168026101
696,38.0,1.0,1.0,1.0,1.0,1.0,0.800312658895243,3.8,2.4,1.35,0.0,0.11798245614035087,31.9836867862969
697,39.0,1.0,1.0,1.0,1.0,1.0,0.5926856234645292,4.8,2.9,1.75,0.0,0.12159147869674186,34.892332789559546
698,40.0,1.0,1.0,1.0,1.0,1.0,0.7800602291639662,3.7,2.35,1.3,0.0,0.1368421052631579,33.955954323001635
699,41.0,1.0,1.0,1.0,1.0,1.0,0.6990525093743406,4.8,2.9,1.85,0.0,0.10540100250626566,34.923327895595435
700,42.0,1.0,1.0,1.0,1.0,1.0,0.7185435425904741,4.0,2.5,1.5,0.0,0.10587719298245614,35.93311582381729
701,43.0,1.0,1.0,1.0,1.0,1.0,0.7981677708196971,3.8,2.4,1.3,0.0,0.14228070175438595,37.0
702,44.0,1.0,1.0,1.0,1.0,1.0,0.6705574013922432,4.1,2.55,1.55,0.0,0.10342105263157894,37.84502446982056
703,45.0,1.0,1.0,1.0,1.0,1.0,0.5658200955238301,4.9,2.95,1.8,0.0,0.09711779448621553,39.9510603588907
704,46.0,1.0,1.0,1.0,1.0,1.0,0.6799958020534832,4.7,2.85,1.8,0.0,0.11508771929824561,40.783034257748774
705,47.0,1.0,1.0,1.0,1.0,1.0,0.7692837437538873,4.3,2.65,1.55,0.0,0.10664160401002505,40.53833605220228
706,48.0,1.0,1.0,1.0,1.0,1.0,0.6882648924642376,5.0,3.0,1.95,-0.005263157894736842,0.0712280701754386,41.93800978792822
707,49.0,1.0,1.0,1.0,1.0,1.0,0.5641118229588996,5.9,3.45,2.15,0.0,0.12010461760461759,43.92006525285481
708,50.0,1.0,1.0,1.0,1.0,1.0,0.6628999114994724,4.8,2.9,1.85,0.0,0.09523391812865495,43.94290375203915
709,51.0,1.0,1.0,1.0,1.0,1.0,0.7787460574738688,4.6,2.8,1.65,0.005263157894736842,0.12180451127819547,44.96247960848287
710,52.0,1.0,1.0,1.0,1.0,1.0,0.6338225430851218,5.0,3.0,1.9,0.005228701869239383,0.10413533834586465,46.92169657422512
711,53.0,1.0,1.0,1.0,1.0,1.0,0.791648833759134,3.8,2.4,1.35,0.0,0.11552631578947369,46.97716150081566
712,54.0,1.0,1.0,1.0,1.0,1.0,0.7401926924635762,4.4,2.7,1.7,0.005160127071348846,0.07929824561403509,46.931484502446985
713,55.0,1.0,1.0,1.0,1.0,1.0,0.6633690542373432,4.4,2.7,1.6,-0.010526315789473684,0.0887280701754386,48.91190864600326
714,56.0,1.0,1.0,1.0,1.0,1.0,0.7881103505602659,3.8,2.4,1.4,0.0,0.09491228070175439,48.955954323001635
715,57.0,1.0,1.0,1.0,1.0,1.0,0.8095393619982406,4.8,2.9,1.8,0.0,0.1631140350877193,48.95269168026101
716,58.0,1.0,1.0,1.0,1.0,1.0,0.7810443205378604,4.6,2.8,1.65,0.0,0.07447368421052633,50.28384991843393
717,59.0,1.0,1.0,1.0,1.0,1.0,0.607560137082604,5.0,3.0,1.9,0.0,0.0676315789473684,52.69168026101142
718,60.0,1.0,1.0,1.0,1.0,1.0,0.6602193519008475,4.5,2.75,1.75,0.0,0.0900501253132832,53.90538336052202
719,61.0,1.0,1.0,1.0,1.0,1.0,0.6718769057847999,4.8,2.9,1.9,-0.005263157894736842,0.07912280701754384,54.95269168026101
720,62.0,1.0,1.0,1.0,1.0,1.0,0.8334293788519398,3.9,2.45,1.45,0.0,0.08807017543859649,54.34910277324633
721,63.0,1.0,1.0,1.0,1.0,1.0,0.7997503426222576,4.4,2.7,1.65,0.0,0.07087719298245614,54.92006525285481
722,64.0,1.0,1.0,1.0,1.0,1.0,0.7970422211834656,4.0,2.5,1.45,-0.015789473684210527,0.08289473684210526,56.19412724306689
723,65.0,1.0,1.0,1.0,1.0,1.0,0.8117437026049915,4.2,2.6,1.45,0.0,0.10982456140350877,56.02936378466558
724,66.0,1.0,1.0,1.0,1.0,1.0,0.7988637113225557,3.9,2.45,1.45,0.0,0.07719298245614035,58.964110929853184
725,67.0,1.0,1.0,1.0,1.0,1.0,0.7994893728674675,4.4,2.7,1.6,0.0,0.06728070175438595,58.95269168026101
726,68.0,1.0,1.0,1.0,1.0,1.0,0.7966755051085695,3.7,2.35,1.3,0.0,0.11771929824561404,60.63621533442088
727,69.0,1.0,1.0,1.0,1.0,1.0,0.7963551774903226,5.0,3.0,1.8,0.0,0.09645363408521303,61.79771615008156
728,70.0,1.0,1.0,1.0,1.0,1.0,0.7463516483815881,4.6,2.8,1.75,0.0,0.07815789473684209,62.9510603588907
729,71.0,1.0,1.0,1.0,1.0,1.0,0.9101977794542729,4.5,2.75,1.65,0.0,0.06289473684210525,61.12887438825449
730,72.0,1.0,1.0,1.0,1.0,1.0,0.7911402089671925,4.4,2.7,1.65,-0.005263157894736842,0.09175438596491228,64.84828711256118
731,73.0,1.0,1.0,1.0,1.0,1.0,0.714587440719575,4.3,2.65,1.6,0.0,0.08456140350877193,65.67862969004894
732,74.0,1.0,1.0,1.0,1.0,1.0,0.8502105105100227,4.6,2.8,1.65,-0.005263157894736842,0.0975125313283208,66.38172920065253
733,75.0,1.0,1.0,1.0,1.0,1.0,0.8313778952423841,4.4,2.7,1.7,0.0,0.05499999999999999,66.7373572593801
734,76.0,1.0,1.0,1.0,1.0,1.0,0.7891910467368174,4.4,2.7,1.55,0.0,0.09101503759398497,69.96574225122349
735,77.0,1.0,1.0,1.0,1.0,1.0,0.8629884435255578,4.1,2.55,1.5,0.0,0.07052631578947369,68.94127243066885
736,78.0,1.0,1.0,1.0,1.0,1.0,0.916462446459508,4.3,2.65,1.6,0.0,0.06394736842105263,69.82381729200652
737,79.0,1.0,1.0,1.0,1.0,1.0,0.9500104733397248,4.0,2.5,1.45,0.0,0.07675438596491228,69.7357259380098
738,80.0,1.0,1.0,1.0,1.0,1.0,0.9854895247849259,3.8,2.4,1.4,0.0,0.09385964912280702,70.4257748776509
739,81.0,1.0,1.0,1.0,1.0,1.0,0.869517926779175,3.5,2.25,1.25,0.0,0.10263157894736842,72.96084828711255
740,82.0,1.0,1.0,1.0,1.0,1.0,0.7483696250847636,4.1,2.55,1.5,0.0,0.0993859649122807,75.92659053833606
741,83.0,1.0,1.0,1.0,1.0,1.0,0.9400019837506199,3.7,2.35,1.3,0.0,0.08421052631578946,72.93964110929853
742,84.0,1.0,1.0,1.0,1.0,1.0,0.9208977866828069,3.5,2.25,1.2,-0.005263157894736842,0.07149122807017544,74.97389885807505
743,85.0,1.0,1.0,1.0,1.0,1.0,1.0633497878068676,4.0,2.5,1.4,0.0,0.04649122807017543,74.25774877650898
744,86.0,1.0,1.0,1.0,1.0,1.0,0.9625560514062919,3.7,2.35,1.35,0.0,0.05745614035087719,75.98531810766721
745,87.0,1.0,1.0,1.0,1.0,1.0,0.9573269559415222,4.0,2.5,1.4,0.0,0.055701754385964905,77.95595432300163
746,88.0,1.0,1.0,1.0,1.0,1.0,1.117511007890535,4.2,2.6,1.5,0.010526315789473684,0.052994987468671685,76.6068515497553
747,89.0,1.0,1.0,1.0,1.0,1.0,0.8738309903446264,3.7,2.35,1.35,0.0,0.06403508771929824,79.94290375203916
748,90.0,1.0,1.0,1.0,1.0,1.0,0.9418547119811281,4.4,2.7,1.65,0.0,0.055877192982456136,79.9510603588907
749,91.0,1.0,1.0,1.0,1.0,1.0,0.7888849107359595,3.6,2.3,1.3,0.0,0.1118421052631579,83.96411092985318
750,92.0,1.0,1.0,1.0,1.0,1.0,0.9753038399475491,4.0,2.5,1.45,0.0,0.11491228070175438,82.9836867862969
751,93.0,1.0,1.0,1.0,1.0,1.0,0.9580163916866107,3.4,2.2,1.2,0.0,0.08596491228070174,83.97389885807505
752,94.0,1.0,1.0,1.0,1.0,1.0,0.963029325548305,4.0,2.5,1.45,0.0,0.06359649122807016,84.89722675367047
753,95.0,1.0,1.0,1.0,1.0,1.0,0.8780765078882118,3.4,2.2,1.15,0.0,0.09649122807017543,88.0
754,96.0,1.0,1.0,1.0,1.0,1.0,0.9308178300501534,3.8,2.4,1.35,-0.005263157894736842,0.05894736842105263,85.84013050570962
755,97.0,1.0,1.0,1.0,1.0,1.0,0.9764343920276852,4.3,2.65,1.55,0.0,0.0475,86.01794453507341
756,98.0,1.0,1.0,1.0,1.0,1.0,0.9774817863991743,4.4,2.7,1.6,0.0,0.052456140350877194,87.95595432300163
757,99.0,1.0,1.0,1.0,1.0,1.0,0.9585335137100406,3.9,2.45,1.35,0.0,0.07254385964912281,89.9184339314845
758,100.0,1.0,1.0,1.0,1.0,1.0,0.9855190644013976,3.7,2.35,1.35,0.0,0.10192982456140351,89.91353996737357
759,101.0,1.0,1.0,1.0,1.0,1.0,1.0208488611808353,3.8,2.4,1.4,0.0,0.05043859649122807,90.97063621533442
760,102.0,1.0,1.0,1.0,1.0,1.0,0.7572632264860409,5.0,3.0,1.8,-0.015789473684210527,0.06167293233082706,93.84502446982056
761,103.0,1.0,1.0,1.0,1.0,1.0,0.86468113207682,3.5,2.25,1.25,0.0,0.07894736842105263,94.96411092985318
762,104.0,1.0,1.0,1.0,1.0,1.0,1.0113708940132204,3.7,2.35,1.35,0.0,0.05394736842105263,93.98531810766721
763,105.0,1.0,1.0,1.0,1.0,1.0,0.8335836411505654,4.3,2.65,1.6,0.0,0.06728070175438597,96.91027732463296
764,106.0,1.0,1.0,1.0,1.0,1.0,1.0133171753387995,3.5,2.25,1.25,0.0,0.06885964912280701,95.97553017944536
765,107.0,1.0,1.0,1.0,1.0,1.0,0.9458042339828872,4.2,2.6,1.55,0.0,0.054385964912280704,97.89070146818923
766,108.0,1.0,1.0,1.0,1.0,1.0,0.986249302435396,3.5,2.25,1.25,0.0,0.048245614035087724,97.95758564437195
767,109.0,1.0,1.0,1.0,1.0,1.0,0.9638997737102833,4.0,2.5,1.4,0.0,0.056491228070175446,99.89233278955955
768,110.0,1.0,1.0,1.0,1.0,1.0,1.0537470023544404,3.7,2.35,1.3,0.0,0.06026315789473684,99.99021207177815
769,111.0,1.0,1.0,1.0,1.0,1.0,0.8947481609269663,4.4,2.7,1.55,0.0,0.10324561403508772,103.15171288743882
