,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance
247,50.0,1.0,1.0,1.0,1.0,0.0,
248,51.0,1.0,1.0,1.0,1.0,0.0,
249,52.0,1.0,1.0,1.0,1.0,0.0,
250,53.0,1.0,1.0,1.0,1.0,0.0,
251,54.0,1.0,1.0,1.0,1.0,0.0,
252,55.0,1.0,1.0,1.0,1.0,0.0,
253,56.0,1.0,1.0,1.0,1.0,0.0,
254,57.0,1.0,1.0,1.0,1.0,0.0,
255,58.0,1.0,1.0,1.0,1.0,0.0,
256,59.0,1.0,1.0,1.0,1.0,0.0,
257,60.0,1.0,1.0,1.0,1.0,0.0,
258,61.0,1.0,1.0,1.0,1.0,0.0,
259,62.0,1.0,1.0,1.0,1.0,0.0,
260,63.0,1.0,1.0,1.0,1.0,0.0,
261,64.0,1.0,1.0,1.0,1.0,0.0,
262,65.0,1.0,1.0,1.0,1.0,0.0,
263,66.0,1.0,1.0,1.0,1.0,0.0,
264,67.0,1.0,1.0,1.0,1.0,0.0,
265,68.0,1.0,1.0,1.0,1.0,0.0,
266,69.0,1.0,1.0,1.0,1.0,0.0,
267,70.0,1.0,1.0,1.0,1.0,0.0,
268,71.0,1.0,1.0,1.0,1.0,0.0,
269,72.0,1.0,1.0,1.0,1.0,0.0,
270,73.0,1.0,1.0,1.0,1.0,0.0,
271,74.0,1.0,1.0,1.0,1.0,0.0,
272,75.0,1.0,1.0,1.0,1.0,0.0,
273,76.0,1.0,1.0,1.0,1.0,0.0,
274,77.0,1.0,1.0,1.0,1.0,0.0,
275,78.0,1.0,1.0,1.0,1.0,0.0,
276,79.0,1.0,1.0,1.0,1.0,0.0,
277,80.0,1.0,1.0,1.0,1.0,0.0,
278,81.0,1.0,1.0,1.0,1.0,0.0,
279,82.0,1.0,1.0,1.0,1.0,0.0,
280,83.0,1.0,1.0,1.0,1.0,0.0,
281,84.0,1.0,1.0,1.0,1.0,0.0,
282,85.0,1.0,1.0,1.0,1.0,0.0,
283,86.0,1.0,1.0,1.0,1.0,0.0,
284,87.0,1.0,1.0,1.0,1.0,0.0,
285,88.0,1.0,1.0,1.0,1.0,0.0,
286,89.0,1.0,1.0,1.0,1.0,0.0,
287,90.0,1.0,1.0,1.0,1.0,0.0,
288,91.0,1.0,1.0,1.0,1.0,0.0,
289,92.0,1.0,1.0,1.0,1.0,0.0,
290,93.0,1.0,1.0,1.0,1.0,0.0,
291,94.0,1.0,1.0,1.0,1.0,0.0,
292,95.0,1.0,1.0,1.0,1.0,0.0,
293,96.0,1.0,1.0,1.0,1.0,0.0,
294,97.0,1.0,1.0,1.0,1.0,0.0,
295,98.0,1.0,1.0,1.0,1.0,0.0,
296,99.0,1.0,1.0,1.0,1.0,0.0,
297,1.0,0.9738988580750407,0.9800664451827242,0.9932659932659933,0.9866220735785953,1.0,0.049717207199923494
298,2.0,0.9787928221859706,0.9948892674616695,0.9831649831649831,0.9889923793395428,1.0,0.016258823815831488
299,3.0,0.9885807504078303,0.9916247906197655,0.9966329966329966,0.9941225860621328,1.0,0.11087169333766378
300,4.0,0.9967373572593801,0.9983164983164983,0.9983164983164983,0.9983164983164983,1.0,0.11082100289750609
301,5.0,0.9967373572593801,0.9966442953020134,1.0,0.9983193277310924,1.0,0.1520795218945375
302,6.0,1.0,1.0,1.0,1.0,1.0,0.1434150675546177
303,7.0,0.9951060358890701,0.9949748743718593,1.0,0.9974811083123425,1.0,0.2763799297282193
304,8.0,1.0,1.0,1.0,1.0,0.9967373572593801,0.21609492844959063
305,9.0,1.0,1.0,1.0,1.0,1.0,0.2766605132187342
306,10.0,1.0,1.0,1.0,1.0,1.0,0.26617569586219153
307,11.0,1.0,1.0,1.0,1.0,1.0,0.27910499317262605
308,12.0,1.0,1.0,1.0,1.0,0.9820554649265906,0.28356838732875933
309,13.0,1.0,1.0,1.0,1.0,1.0,0.35588747259865067
310,14.0,1.0,1.0,1.0,1.0,0.07504078303425776,0.6469719758752144
311,15.0,1.0,1.0,1.0,1.0,0.0,
312,16.0,1.0,1.0,1.0,1.0,0.0,
313,17.0,1.0,1.0,1.0,1.0,0.0,
314,18.0,1.0,1.0,1.0,1.0,0.0,
315,19.0,1.0,1.0,1.0,1.0,0.0,
316,20.0,1.0,1.0,1.0,1.0,0.0,
317,21.0,1.0,1.0,1.0,1.0,0.0,
318,22.0,1.0,1.0,1.0,1.0,0.0,
319,23.0,1.0,1.0,1.0,1.0,0.0,
320,24.0,1.0,1.0,1.0,1.0,0.0,
321,25.0,1.0,1.0,1.0,1.0,0.0,
322,26.0,1.0,1.0,1.0,1.0,0.0,
323,27.0,1.0,1.0,1.0,1.0,0.0,
324,28.0,1.0,1.0,1.0,1.0,0.0,
325,29.0,1.0,1.0,1.0,1.0,0.0,
326,30.0,1.0,1.0,1.0,1.0,0.0,
327,31.0,1.0,1.0,1.0,1.0,0.0,
328,32.0,1.0,1.0,1.0,1.0,0.0,
329,33.0,1.0,1.0,1.0,1.0,0.0,
330,34.0,1.0,1.0,1.0,1.0,0.0,
331,35.0,1.0,1.0,1.0,1.0,0.0,
332,36.0,1.0,1.0,1.0,1.0,0.0,
333,37.0,1.0,1.0,1.0,1.0,0.0,
334,38.0,1.0,1.0,1.0,1.0,0.0,
335,39.0,1.0,1.0,1.0,1.0,0.0,
336,40.0,1.0,1.0,1.0,1.0,0.0,
337,41.0,1.0,1.0,1.0,1.0,0.0,
338,42.0,1.0,1.0,1.0,1.0,0.0,
339,43.0,1.0,1.0,1.0,1.0,0.0,
340,44.0,1.0,1.0,1.0,1.0,0.0,
341,45.0,1.0,1.0,1.0,1.0,0.0,
342,46.0,1.0,1.0,1.0,1.0,0.0,
343,47.0,1.0,1.0,1.0,1.0,0.0,
344,48.0,1.0,1.0,1.0,1.0,0.0,
345,49.0,1.0,1.0,1.0,1.0,0.0,
346,50.0,1.0,1.0,1.0,1.0,0.0,
347,51.0,1.0,1.0,1.0,1.0,0.0,
348,52.0,1.0,1.0,1.0,1.0,0.0,
349,53.0,1.0,1.0,1.0,1.0,0.0,
350,54.0,1.0,1.0,1.0,1.0,0.0,
351,55.0,1.0,1.0,1.0,1.0,0.0,
352,56.0,1.0,1.0,1.0,1.0,0.0,
353,57.0,1.0,1.0,1.0,1.0,0.0,
354,58.0,1.0,1.0,1.0,1.0,0.0,
355,59.0,1.0,1.0,1.0,1.0,0.0,
356,60.0,1.0,1.0,1.0,1.0,0.0,
357,61.0,1.0,1.0,1.0,1.0,0.0,
358,62.0,1.0,1.0,1.0,1.0,0.0,
359,63.0,1.0,1.0,1.0,1.0,0.0,
360,64.0,1.0,1.0,1.0,1.0,0.0,
361,65.0,1.0,1.0,1.0,1.0,0.0,
362,66.0,1.0,1.0,1.0,1.0,0.0,
363,67.0,1.0,1.0,1.0,1.0,0.0,
364,68.0,1.0,1.0,1.0,1.0,0.0,
365,69.0,1.0,1.0,1.0,1.0,0.0,
366,70.0,1.0,1.0,1.0,1.0,0.0,
367,71.0,1.0,1.0,1.0,1.0,0.0,
368,72.0,1.0,1.0,1.0,1.0,0.0,
369,73.0,1.0,1.0,1.0,1.0,0.0,
370,74.0,1.0,1.0,1.0,1.0,0.0,
371,75.0,1.0,1.0,1.0,1.0,0.0,
372,76.0,1.0,1.0,1.0,1.0,0.0,
373,77.0,1.0,1.0,1.0,1.0,0.0,
374,78.0,1.0,1.0,1.0,1.0,0.0,
375,79.0,1.0,1.0,1.0,1.0,0.0,
376,80.0,1.0,1.0,1.0,1.0,0.0,
377,81.0,1.0,1.0,1.0,1.0,0.0,
378,82.0,1.0,1.0,1.0,1.0,0.0,
379,83.0,1.0,1.0,1.0,1.0,0.0,
380,84.0,1.0,1.0,1.0,1.0,0.0,
381,85.0,1.0,1.0,1.0,1.0,0.0,
382,86.0,1.0,1.0,1.0,1.0,0.0,
383,87.0,1.0,1.0,1.0,1.0,0.0,
384,88.0,1.0,1.0,1.0,1.0,0.0,
385,89.0,1.0,1.0,1.0,1.0,0.0,
386,90.0,1.0,1.0,1.0,1.0,0.0,
387,91.0,1.0,1.0,1.0,1.0,0.0,
388,92.0,1.0,1.0,1.0,1.0,0.0,
389,93.0,1.0,1.0,1.0,1.0,0.0,
390,94.0,1.0,1.0,1.0,1.0,0.0,
391,95.0,1.0,1.0,1.0,1.0,0.0,
392,96.0,1.0,1.0,1.0,1.0,0.0,
393,97.0,1.0,1.0,1.0,1.0,0.0,
394,98.0,1.0,1.0,1.0,1.0,0.0,
395,99.0,1.0,1.0,1.0,1.0,0.0,
396,1.0,0.9869494290375204,0.9868421052631579,1.0,0.9933774834437086,1.0,0.052979024203334696
397,2.0,0.9869494290375204,0.9916943521594684,0.995,0.9933444259567388,1.0,0.026282675034937086
398,3.0,0.9951060358890701,0.9950248756218906,1.0,0.9975062344139651,1.0,0.17581129395253414
399,4.0,1.0,1.0,1.0,1.0,1.0,0.12907662063096828
400,5.0,1.0,1.0,1.0,1.0,1.0,0.19529949297780694
401,6.0,0.99836867862969,0.9983361064891847,1.0,0.9991673605328892,1.0,0.19820257220608617
402,7.0,1.0,1.0,1.0,1.0,1.0,0.14522246653238283
403,8.0,1.0,1.0,1.0,1.0,1.0,0.2886540697976363
404,9.0,1.0,1.0,1.0,1.0,1.0,0.28393682715135454
405,10.0,1.0,1.0,1.0,1.0,1.0,0.17698340781844538
406,11.0,1.0,1.0,1.0,1.0,1.0,0.3998439111048035
407,12.0,1.0,1.0,1.0,1.0,0.9836867862969005,0.3693539993597823
408,13.0,1.0,1.0,1.0,1.0,0.0,
409,14.0,1.0,1.0,1.0,1.0,0.0,
410,15.0,1.0,1.0,1.0,1.0,0.0,
411,16.0,1.0,1.0,1.0,1.0,0.0,
412,17.0,1.0,1.0,1.0,1.0,0.0,
413,18.0,1.0,1.0,1.0,1.0,0.0,
414,19.0,1.0,1.0,1.0,1.0,0.0,
415,20.0,1.0,1.0,1.0,1.0,0.013050570962479635,0.3014532660369063
416,21.0,1.0,1.0,1.0,1.0,0.0,
417,22.0,1.0,1.0,1.0,1.0,0.0,
418,23.0,1.0,1.0,1.0,1.0,0.0,
419,24.0,1.0,1.0,1.0,1.0,0.0,
420,25.0,1.0,1.0,1.0,1.0,0.0,
421,26.0,1.0,1.0,1.0,1.0,0.0,
