,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth
181,18.0,1.0,1.0,1.0,1.0,0.0,,4.7,2.85,1.8
182,19.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.55
183,20.0,1.0,1.0,1.0,1.0,0.019575856443719397,0.293109460030972,5.4,3.2,1.95
184,21.0,1.0,1.0,1.0,1.0,0.00815660685154973,0.27594588450891966,4.4,2.7,1.7
185,22.0,1.0,1.0,1.0,1.0,0.0016313213703099683,0.43139670788278767,7.1,4.05,2.9
186,23.0,1.0,1.0,1.0,1.0,0.0,,6.5,3.75,2.4
187,24.0,1.0,1.0,1.0,1.0,0.0,,5.8,3.4,2.15
188,25.0,1.0,1.0,1.0,1.0,0.0,,5.4,3.2,2.05
189,26.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.75
190,27.0,1.0,1.0,1.0,1.0,0.0,,4.7,2.85,1.8
191,28.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.65
192,29.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.85
193,30.0,1.0,1.0,1.0,1.0,0.0,,5.7,3.35,2.2
194,31.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
195,32.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.65
196,33.0,1.0,1.0,1.0,1.0,0.0,,4.8,2.9,1.75
197,34.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.5
198,35.0,1.0,1.0,1.0,1.0,0.0,,4.8,2.9,1.8
199,36.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
200,37.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.55
201,38.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.6
202,39.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
203,40.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
204,41.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.4
205,42.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05
206,43.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.15
207,44.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
208,45.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45
209,46.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
210,47.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
211,48.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
212,49.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
213,50.0,1.0,1.0,1.0,1.0,0.0,,3.9,2.45,1.45
214,51.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
215,52.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05
216,53.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4
217,54.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
218,55.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05
219,56.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
220,57.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
221,58.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
222,59.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45
223,60.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
224,61.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35
225,62.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
226,63.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.55
227,64.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
228,65.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.1
229,66.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
230,67.0,1.0,1.0,1.0,1.0,0.0,,3.0,2.0,1.0
231,68.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.05
232,69.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
233,70.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
234,71.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
235,72.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
