,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
332,6.0,1.0,1.0,1.0,1.0,0.6460032626427405,0.4089800156993932
333,7.0,1.0,1.0,1.0,1.0,0.0,
334,8.0,1.0,1.0,1.0,1.0,0.0,
335,9.0,1.0,1.0,1.0,1.0,0.0,
336,10.0,1.0,1.0,1.0,1.0,0.0032626427406199365,0.3506698501949604
337,11.0,1.0,1.0,1.0,1.0,0.0016313213703099683,0.2808264471903012
338,12.0,1.0,1.0,1.0,1.0,0.965742251223491,0.30335584994806003
339,13.0,1.0,1.0,1.0,1.0,0.0,
340,14.0,1.0,1.0,1.0,1.0,0.0,
341,15.0,1.0,1.0,1.0,1.0,0.0,
342,16.0,1.0,1.0,1.0,1.0,0.0,
343,17.0,1.0,1.0,1.0,1.0,0.0,
344,18.0,1.0,1.0,1.0,1.0,0.0,
345,19.0,1.0,1.0,1.0,1.0,0.0,
346,20.0,1.0,1.0,1.0,1.0,0.0,
347,21.0,1.0,1.0,1.0,1.0,0.0,
348,22.0,1.0,1.0,1.0,1.0,0.0,
349,23.0,1.0,1.0,1.0,1.0,0.0,
350,24.0,1.0,1.0,1.0,1.0,0.0,
351,25.0,1.0,1.0,1.0,1.0,0.0,
352,26.0,1.0,1.0,1.0,1.0,0.0,
353,27.0,1.0,1.0,1.0,1.0,0.0,
354,28.0,1.0,1.0,1.0,1.0,0.0,
355,29.0,1.0,1.0,1.0,1.0,0.0,
356,30.0,1.0,1.0,1.0,1.0,0.0,
357,31.0,1.0,1.0,1.0,1.0,0.0,
358,32.0,1.0,1.0,1.0,1.0,0.0,
359,33.0,1.0,1.0,1.0,1.0,0.0,
360,34.0,1.0,1.0,1.0,1.0,0.0,
361,35.0,1.0,1.0,1.0,1.0,0.0,
362,36.0,1.0,1.0,1.0,1.0,0.0,
363,37.0,1.0,1.0,1.0,1.0,0.0,
364,38.0,1.0,1.0,1.0,1.0,0.0,
365,39.0,1.0,1.0,1.0,1.0,0.0,
366,40.0,1.0,1.0,1.0,1.0,0.0,
367,41.0,1.0,1.0,1.0,1.0,0.0,
368,42.0,1.0,1.0,1.0,1.0,0.0,
369,43.0,1.0,1.0,1.0,1.0,0.0,
370,44.0,1.0,1.0,1.0,1.0,0.0,
371,45.0,1.0,1.0,1.0,1.0,0.0,
372,46.0,1.0,1.0,1.0,1.0,0.0,
373,47.0,1.0,1.0,1.0,1.0,0.0,
374,48.0,1.0,1.0,1.0,1.0,0.0,
375,49.0,1.0,1.0,1.0,1.0,0.0,
376,50.0,1.0,1.0,1.0,1.0,0.0,
377,51.0,1.0,1.0,1.0,1.0,0.0,
378,52.0,1.0,1.0,1.0,1.0,0.0,
379,53.0,1.0,1.0,1.0,1.0,0.0,
380,54.0,1.0,1.0,1.0,1.0,0.0,
381,55.0,1.0,1.0,1.0,1.0,0.0,
382,56.0,1.0,1.0,1.0,1.0,0.0,
383,57.0,1.0,1.0,1.0,1.0,0.0,
384,58.0,1.0,1.0,1.0,1.0,0.0,
385,59.0,1.0,1.0,1.0,1.0,0.0,
386,60.0,1.0,1.0,1.0,1.0,0.0,
387,61.0,1.0,1.0,1.0,1.0,0.0,
388,62.0,1.0,1.0,1.0,1.0,0.0,
389,63.0,1.0,1.0,1.0,1.0,0.0,
390,64.0,1.0,1.0,1.0,1.0,0.0,
391,65.0,1.0,1.0,1.0,1.0,0.0,
392,66.0,1.0,1.0,1.0,1.0,0.0,
393,67.0,1.0,1.0,1.0,1.0,0.0,
394,68.0,1.0,1.0,1.0,1.0,0.0,
395,69.0,1.0,1.0,1.0,1.0,0.0,
396,70.0,1.0,1.0,1.0,1.0,0.0,
397,71.0,1.0,1.0,1.0,1.0,0.0,
398,72.0,1.0,1.0,1.0,1.0,0.0,
399,73.0,1.0,1.0,1.0,1.0,0.0,
400,74.0,1.0,1.0,1.0,1.0,0.0,
401,75.0,1.0,1.0,1.0,1.0,0.0,
402,76.0,1.0,1.0,1.0,1.0,0.0,
403,77.0,1.0,1.0,1.0,1.0,0.0,
404,78.0,1.0,1.0,1.0,1.0,0.0,
405,79.0,1.0,1.0,1.0,1.0,0.0,
406,80.0,1.0,1.0,1.0,1.0,0.0,
407,81.0,1.0,1.0,1.0,1.0,0.0,
408,82.0,1.0,1.0,1.0,1.0,0.0,
409,83.0,1.0,1.0,1.0,1.0,0.0,
410,84.0,1.0,1.0,1.0,1.0,0.0,
411,85.0,1.0,1.0,1.0,1.0,0.0,
412,86.0,1.0,1.0,1.0,1.0,0.0,
413,87.0,1.0,1.0,1.0,1.0,0.0,
414,88.0,1.0,1.0,1.0,1.0,0.0,
415,89.0,1.0,1.0,1.0,1.0,0.0,
416,90.0,1.0,1.0,1.0,1.0,0.0,
417,91.0,1.0,1.0,1.0,1.0,0.0,
418,92.0,1.0,1.0,1.0,1.0,0.0,
419,93.0,1.0,1.0,1.0,1.0,0.0,
420,94.0,1.0,1.0,1.0,1.0,0.0,
421,95.0,1.0,1.0,1.0,1.0,0.0,
422,96.0,1.0,1.0,1.0,1.0,0.0,
423,97.0,1.0,1.0,1.0,1.0,0.0,
424,98.0,1.0,1.0,1.0,1.0,0.0,
425,99.0,1.0,1.0,1.0,1.0,0.0,
426,100.0,1.0,1.0,1.0,1.0,0.0,
427,101.0,1.0,1.0,1.0,1.0,0.0,
428,102.0,1.0,1.0,1.0,1.0,0.0,
429,103.0,1.0,1.0,1.0,1.0,0.0,
430,104.0,1.0,1.0,1.0,1.0,0.0,
431,105.0,1.0,1.0,1.0,1.0,0.0,
432,106.0,1.0,1.0,1.0,1.0,0.0,
433,107.0,1.0,1.0,1.0,1.0,0.0,
434,108.0,1.0,1.0,1.0,1.0,0.0,
435,109.0,1.0,1.0,1.0,1.0,0.0,
436,110.0,1.0,1.0,1.0,1.0,0.0,
437,111.0,1.0,1.0,1.0,1.0,0.0,
438,112.0,1.0,1.0,1.0,1.0,0.0,
439,113.0,1.0,1.0,1.0,1.0,0.0,
440,114.0,1.0,1.0,1.0,1.0,0.0,
441,115.0,1.0,1.0,1.0,1.0,0.0,
442,116.0,1.0,1.0,1.0,1.0,0.0,
443,117.0,1.0,1.0,1.0,1.0,0.0,
444,118.0,1.0,1.0,1.0,1.0,0.0,
445,119.0,1.0,1.0,1.0,1.0,0.0,
446,120.0,1.0,1.0,1.0,1.0,0.0,
447,121.0,1.0,1.0,1.0,1.0,0.0,
448,122.0,1.0,1.0,1.0,1.0,0.0,
449,123.0,1.0,1.0,1.0,1.0,0.0,
450,124.0,1.0,1.0,1.0,1.0,0.0,
451,125.0,1.0,1.0,1.0,1.0,0.0,
452,126.0,1.0,1.0,1.0,1.0,0.0,
453,127.0,1.0,1.0,1.0,1.0,0.0,
454,128.0,1.0,1.0,1.0,1.0,0.0,
455,129.0,1.0,1.0,1.0,1.0,0.0,
456,130.0,1.0,1.0,1.0,1.0,0.0,
457,131.0,1.0,1.0,1.0,1.0,0.0,
458,132.0,1.0,1.0,1.0,1.0,0.0,
459,133.0,1.0,1.0,1.0,1.0,0.0,
460,134.0,1.0,1.0,1.0,1.0,0.0,
461,135.0,1.0,1.0,1.0,1.0,0.0,
462,136.0,1.0,1.0,1.0,1.0,0.0,
463,137.0,1.0,1.0,1.0,1.0,0.0,
464,138.0,1.0,1.0,1.0,1.0,0.0,
465,139.0,1.0,1.0,1.0,1.0,0.0,
466,140.0,1.0,1.0,1.0,1.0,0.0,
467,141.0,1.0,1.0,1.0,1.0,0.0,
468,142.0,1.0,1.0,1.0,1.0,0.0,
469,143.0,1.0,1.0,1.0,1.0,0.0,
470,144.0,1.0,1.0,1.0,1.0,0.0,
471,145.0,1.0,1.0,1.0,1.0,0.0,
472,146.0,1.0,1.0,1.0,1.0,0.0,
473,147.0,1.0,1.0,1.0,1.0,0.0,
474,148.0,1.0,1.0,1.0,1.0,0.0,
475,149.0,1.0,1.0,1.0,1.0,0.0,
476,150.0,1.0,1.0,1.0,1.0,0.0,
477,151.0,1.0,1.0,1.0,1.0,0.0,
478,152.0,1.0,1.0,1.0,1.0,0.0,
479,153.0,1.0,1.0,1.0,1.0,0.0,
480,154.0,1.0,1.0,1.0,1.0,0.0,
481,155.0,1.0,1.0,1.0,1.0,0.0,
482,156.0,1.0,1.0,1.0,1.0,0.0,
483,157.0,1.0,1.0,1.0,1.0,0.0,
484,158.0,1.0,1.0,1.0,1.0,0.0,
485,159.0,1.0,1.0,1.0,1.0,0.0,
486,160.0,1.0,1.0,1.0,1.0,0.0,
