dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,facet_k
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.723618984,0.086180949,20,21
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.780764818,0.089038241,20,22
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,1.998598099,0.099929905,20,23
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,2.006440878,0.100322044,20,24
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,2.016556025,0.100827801,20,25
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.457027435,0.022851372,20,1
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.504997969,0.025249898,20,2
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.513599396,0.02567997,20,3
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.549269199,0.02746346,20,4
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.564334393,0.02821672,20,5
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.590091467,0.029504573,20,6
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.590177536,0.029508877,20,7
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.593797445,0.029689872,20,8
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.596622944,0.029831147,20,9
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.592719316,0.029635966,20,10
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.595159054,0.029757953,20,11
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.604747295,0.030237365,20,12
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.604804039,0.030240202,20,13
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.603617668,0.030180883,20,14
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.602895021,0.030144751,20,15
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.605519533,0.030275977,20,16
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.625653744,0.031282687,20,17
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.625394821,0.031269741,20,18
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.656399488,0.032819974,20,19
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.665156364,0.033257818,20,20
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.663003683,0.033150184,20,21
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.663102865,0.033155143,20,22
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.666493893,0.033324695,20,23
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.666229248,0.033311462,20,24
glass,FACETIndex,100,,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,18.63707352,0.670820236,0.033541012,20,25
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,2.537206888,0.126860344,20,1
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,2.84637928,0.142318964,20,2
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.004772663,0.150238633,20,3
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.06328249,0.153164124,20,4
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.146503448,0.157325172,20,5
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.189912319,0.159495616,20,6
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.206382513,0.160319126,20,7
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.208549261,0.160427463,20,8
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.257172346,0.162858617,20,9
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.270349503,0.163517475,20,10
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.405250788,0.170262539,20,11
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.403270245,0.170163512,20,12
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.154398918,0.007719946,20,1
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.211527586,0.010576379,20,2
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.23065114,0.011532557,20,3
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.235756397,0.01178782,20,4
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.245188713,0.012259436,20,5
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.271598816,0.013579941,20,6
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.275264263,0.013763213,20,7
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.319804192,0.01599021,20,8
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.320060968,0.016003048,20,9
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.333589315,0.016679466,20,10
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.425807953,0.171290398,20,13
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.336003304,0.016800165,20,11
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.340883732,0.017044187,20,12
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.37938571,0.018969285,20,13
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.380908251,0.019045413,20,14
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.386337996,0.0193169,20,15
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.390931606,0.01954658,20,16
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.396037102,0.019801855,20,17
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.400730371,0.020036519,20,18
magic,FACETIndex,100,,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,32.89852667,0.403029919,0.020151496,20,19
cancer,FACETIndex,100,,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,24.63800907,3.414715528,0.170735776,20,14
