dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,FACETIndex,10,9,5,0.956140351,1,0.88372093,0.938271605,1,0.126568743,,3.5,4.448672056,0.15095067,0.007547534,20
cancer,FACETIndex,10,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.171540091,,3.75,4.725391865,0.741703033,0.037085152,20
cancer,FACETIndex,50,5,5,0.964912281,0.953488372,0.953488372,0.953488372,1,0.281087736,,8.65,16.34379673,1.655127525,0.082756376,20
cancer,FACETIndex,50,0,5,0.956140351,0.975,0.906976744,0.939759036,1,0.291493771,,10.15,16.68075347,1.965050697,0.098252535,20
cancer,FACETIndex,50,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.262424193,,10.3,16.77442884,2.547546864,0.127377343,20
cancer,FACETIndex,50,1,5,0.947368421,0.9375,0.882352941,0.909090909,1,0.259203013,,9.85,16.55447817,2.038318157,0.101915908,20
cancer,FACETIndex,50,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.257309076,,9.6,16.5463953,2.067251444,0.103362572,20
cancer,FACETIndex,50,2,5,0.98245614,1,0.956521739,0.977777778,1,0.314550278,,10.05,17.03823328,3.030888081,0.151544404,20
cancer,FACETIndex,50,8,5,0.956140351,0.936170213,0.956521739,0.946236559,1,0.337396352,,11.85,16.92103267,2.806462526,0.140323126,20
cancer,FACETIndex,50,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.323531097,,9.95,16.22112417,2.012602329,0.100630116,20
cancer,FACETIndex,50,9,5,0.956140351,1,0.88372093,0.938271605,1,0.312193232,,9.7,16.4723742,1.950670958,0.097533548,20
cancer,FACETIndex,50,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.313096482,,9.95,16.42156005,2.503415823,0.125170791,20
cancer,FACETIndex,100,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.351766442,,12,24.77239299,2.401294708,0.120064735,20
cancer,FACETIndex,100,0,5,0.947368421,0.951219512,0.906976744,0.928571429,1,0.327947715,,12.45,24.78427291,2.42036128,0.121018064,20
cancer,FACETIndex,100,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.311803177,,13.55,24.90603018,3.289767027,0.164488351,20
cancer,FACETIndex,100,1,5,0.956140351,0.939393939,0.911764706,0.925373134,1,0.315328881,,13.1,24.61898994,2.81035018,0.140517509,20
cancer,FACETIndex,100,7,5,0.964912281,0.944444444,0.944444444,0.944444444,1,0.305615893,,12.95,24.75738549,2.655860901,0.132793045,20
cancer,FACETIndex,100,2,5,0.98245614,1,0.956521739,0.977777778,1,0.401202551,,14.25,24.90181446,3.962589741,0.198129487,20
cancer,FACETIndex,100,8,5,0.973684211,0.957446809,0.97826087,0.967741935,1,0.386743599,,14.4,24.9846375,3.495868921,0.174793446,20
cancer,FACETIndex,100,3,5,0.903508772,0.871794872,0.85,0.860759494,1,0.391636001,,13.9,24.78379369,2.838367939,0.141918397,20
cancer,FACETIndex,100,9,5,0.956140351,1,0.88372093,0.938271605,1,0.357789867,,12.1,24.83114767,2.551154137,0.127557707,20
cancer,FACETIndex,100,4,5,0.938596491,0.948717949,0.880952381,0.913580247,1,0.368150755,,12.15,24.56978083,3.216110468,0.160805523,20
cancer,FACETIndex,200,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.410370642,,15.55,40.4370203,3.040520668,0.152026033,20
cancer,FACETIndex,200,0,5,0.964912281,1,0.906976744,0.951219512,1,0.372987896,,15.75,40.79458547,3.046447039,0.152322352,20
cancer,FACETIndex,200,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.366690053,,17.85,40.62259316,3.921389103,0.196069455,20
cancer,FACETIndex,200,1,5,0.956140351,0.967741935,0.882352941,0.923076923,1,0.358216976,,16.2,40.42170262,3.180915594,0.15904578,20
cancer,FACETIndex,200,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.377924721,,14.6,40.49861646,3.054675341,0.152733767,20
cancer,FACETIndex,200,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.458141061,,17.55,40.50508642,4.210782528,0.210539126,20
