accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,dataset,explainer,min_robust,iteration
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.168068647,0.458403432,20,adult,FACETIndex,0.08,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.059764147,0.452988207,20,adult,FACETIndex,0.085,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.225244522,0.461262226,20,adult,FACETIndex,0.09,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.311509132,0.465575457,20,adult,FACETIndex,0.095,3
0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,92.38772464,9.336739063,0.466836953,20,adult,FACETIndex,0.1,3
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.992566824,0.449628341,20,adult,FACETIndex,0.001,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.839439631,0.441971982,20,adult,FACETIndex,0.005,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.790164232,0.439508212,20,adult,FACETIndex,0.01,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.948860645,0.447443032,20,adult,FACETIndex,0.015,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.074778318,0.453738916,20,adult,FACETIndex,0.02,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.045655251,0.452282763,20,adult,FACETIndex,0.025,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.060348272,0.453017414,20,adult,FACETIndex,0.03,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.022469044,0.451123452,20,adult,FACETIndex,0.035,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.994740486,0.449737024,20,adult,FACETIndex,0.04,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.124171257,0.456208563,20,adult,FACETIndex,0.045,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.057102919,0.452855146,20,adult,FACETIndex,0.05,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.110546112,0.455527306,20,adult,FACETIndex,0.055,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.029593468,0.451479673,20,adult,FACETIndex,0.06,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.141735315,0.457086766,20,adult,FACETIndex,0.065,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.15456152,0.457728076,20,adult,FACETIndex,0.07,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,9.095855951,0.454792798,20,adult,FACETIndex,0.075,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.988458872,0.449422944,20,adult,FACETIndex,0.08,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.810856342,0.440542817,20,adult,FACETIndex,0.085,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.784013748,0.439200687,20,adult,FACETIndex,0.09,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.863151073,0.443157554,20,adult,FACETIndex,0.095,4
0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,91.98537278,8.884280205,0.44421401,20,adult,FACETIndex,0.1,4
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.675917149,0.383795857,20,adult,FACETIndex,0.001,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.643335819,0.382166791,20,adult,FACETIndex,0.005,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.566115618,0.378305781,20,adult,FACETIndex,0.01,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.446416616,0.372320831,20,adult,FACETIndex,0.015,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.430411577,0.371520579,20,adult,FACETIndex,0.02,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.518172026,0.375908601,20,adult,FACETIndex,0.025,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.619849682,0.380992484,20,adult,FACETIndex,0.03,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.655495167,0.382774758,20,adult,FACETIndex,0.035,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.674832344,0.383741617,20,adult,FACETIndex,0.04,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.673460484,0.383673024,20,adult,FACETIndex,0.045,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.662433624,0.383121681,20,adult,FACETIndex,0.05,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.67532897,0.383766448,20,adult,FACETIndex,0.055,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.700510263,0.385025513,20,adult,FACETIndex,0.06,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.677838564,0.383891928,20,adult,FACETIndex,0.065,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.676705122,0.383835256,20,adult,FACETIndex,0.07,5
