dataset,explainer,n_trees,max_depth,n_rects,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
glass,FACETIndex,100,,10000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.201766772,,5.4,8.353238583,1.421656847,0.071082842,20
magic,FACETIndex,100,,10000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.175579159,,8.4,13.70387435,2.141002178,0.107050109,20
spambase,FACETIndex,100,,10000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.084559006,,17.85,9.335865736,2.473067522,0.123653376,20
vertebral,FACETIndex,100,,10000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.077705565,,3.85,8.135807514,1.621529818,0.081076491,20
cancer,FACETIndex,100,,20000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,16.2319479,3.469109058,0.173455453,20
glass,FACETIndex,100,,20000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,16.38605928,2.47823143,0.123911572,20
magic,FACETIndex,100,,20000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,22.69829392,4.054970503,0.202748525,20
spambase,FACETIndex,100,,20000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,17.59049606,4.924684525,0.246234226,20
vertebral,FACETIndex,100,,20000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,16.27183867,3.201960087,0.160098004,20
cancer,FACETIndex,100,,30000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.324475938,,13.05,24.54585028,5.210574865,0.260528743,20
glass,FACETIndex,100,,30000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.199092833,,5.35,24.70046473,3.491154432,0.174557722,20
magic,FACETIndex,100,,30000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.162707484,,7.9,31.45366359,6.179256916,0.308962846,20
spambase,FACETIndex,100,,30000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.078522742,,17.25,26.03642535,7.457942724,0.372897136,20
vertebral,FACETIndex,100,,30000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.072045766,,3.4,24.35940289,4.725653648,0.236282682,20
