dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
magic,FACETIndex,10,5,8,0.8343848580441641,0.8210673177537495,0.952650748684743,0.8819782690146122,1.0,0.11522158833888385,0.17485352064391776,3.15,4.278093576431274,0.07670998573303223,0.0038354992866516113,20
vertebral,FACETIndex,10,5,5,0.8064516129032258,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,0.032732786328514216,0.04544884023084153,1.9,4.920430660247803,0.03973245620727539,0.0019866228103637695,20
spambase,FACETIndex,10,5,4,0.9173913043478261,0.940809968847352,0.841225626740947,0.888235294117647,1.0,0.007127423364605435,0.014363610943223564,5.0,4.823655605316162,3.2244040966033936,0.1612202048301697,20
vertebral,FACETIndex,10,5,6,0.7258064516129032,0.6888888888888889,0.9117647058823529,0.7848101265822784,1.0,0.0794880405271489,0.11526939048607368,2.25,4.165713310241699,0.0557708740234375,0.002788543701171875,20
magic,FACETIndex,10,5,9,0.8370136698212408,0.8318965517241379,0.9384116693679092,0.8819497334348819,1.0,0.08089756464167067,0.11168267354354977,2.65,4.153751373291016,0.047663211822509766,0.0023831605911254885,20
spambase,FACETIndex,10,5,5,0.9152173913043479,0.9439252336448598,0.8347107438016529,0.8859649122807018,1.0,0.012018509631918485,0.022751730006068446,4.8,2.8042995929718018,4.237842559814453,0.21189212799072266,20
vertebral,FACETIndex,10,5,7,0.8225806451612904,0.8478260869565217,0.9069767441860465,0.8764044943820224,1.0,0.10138065385405855,0.12887743795714265,2.5,4.54983377456665,0.0798940658569336,0.00399470329284668,20
vertebral,FACETIndex,10,5,8,0.8225806451612904,0.8604651162790697,0.8809523809523809,0.8705882352941177,1.0,0.07381551756647703,0.08143224499153814,1.7,4.5790698528289795,0.055974483489990234,0.002798724174499512,20
spambase,FACETIndex,10,5,6,0.9097826086956522,0.9329268292682927,0.8337874659400545,0.8805755395683453,1.0,0.009897501561869653,0.019870355836828564,5.35,2.7941527366638184,4.23326301574707,0.2116631507873535,20
cancer,OCEAN,10,5,0,0.9385964912280702,0.95,0.8837209302325582,0.9156626506024096,1.0,0.14627223292057528,0.4295186906315906,12.8,0.1892380714416504,14.516001224517822,0.7258000612258911,20
vertebral,FACETIndex,10,5,9,0.8548387096774194,0.9318181818181818,0.8723404255319149,0.9010989010989012,1.0,0.044026012393701894,0.049199981326928675,1.8,4.535801649093628,0.03290677070617676,0.001645338535308838,20
spambase,FACETIndex,10,5,7,0.9206521739130434,0.9504643962848297,0.8434065934065934,0.8937409024745269,1.0,0.009462136974918173,0.015623430147924347,4.9,2.800570011138916,3.7656733989715576,0.18828366994857787,20
spambase,OCEAN,10,5,0,0.9326086956521739,0.9545454545454546,0.8795811518324608,0.9155313351498638,1.0,0.006878406433062071,0.015483646645875912,8.75,0.24373579025268555,9.673934698104858,0.4836967349052429,20
spambase,FACETIndex,10,5,8,0.9141304347826087,0.9322033898305084,0.8571428571428571,0.8930987821380243,1.0,0.0053605228223691775,0.009388911912910313,4.05,2.74466872215271,4.5823657512664795,0.22911828756332397,20
cancer,OCEAN,10,5,1,0.9473684210526315,0.9666666666666667,0.8529411764705882,0.90625,1.0,0.12433214850391058,0.3074929332114958,11.6,0.18498635292053223,12.268830060958862,0.6134415030479431,20
glass,OCEAN,10,5,0,0.7878787878787878,0.8,0.8421052631578947,0.8205128205128205,1.0,0.10885091395933974,0.20672970231433724,4.75,0.20687270164489746,27.059849500656128,1.3529924750328064,20
vertebral,OCEAN,10,5,0,0.7741935483870968,0.7916666666666666,0.9047619047619048,0.8444444444444444,1.0,0.06500643358204031,0.10428435504139404,3.45,0.18453073501586914,17.51112675666809,0.8755563378334046,20
spambase,OCEAN,10,5,1,0.9217391304347826,0.9331306990881459,0.8599439775910365,0.8950437317784258,1.0,0.004735981799430149,0.009983247826560467,8.25,0.24837350845336914,9.67345643043518,0.48367282152175906,20
cancer,MACE,10,5,0,0.9385964912280702,0.95,0.8837209302325582,0.9156626506024096,1.0,1.3244652352760187,5.756513453590483,30.0,0.0056760311126708984,44.32319188117981,2.2161595940589907,20
spambase,FACETIndex,10,5,9,0.8989130434782608,0.9423728813559322,0.7853107344632768,0.8567026194144838,1.0,0.005235532369588094,0.008274087485568278,3.05,4.384079456329346,3.149531364440918,0.1574765682220459,20
spambase,OCEAN,10,5,2,0.9130434782608695,0.9402985074626866,0.84,0.8873239436619718,1.0,0.005984414291701484,0.012302031316153405,8.15,0.24394774436950684,9.373909950256348,0.46869549751281736,20
vertebral,MACE,10,5,0,0.7741935483870968,0.7916666666666666,0.9047619047619048,0.8444444444444444,1.0,0.49211382467649367,0.976461164505818,6.0,0.007969856262207031,41.74327898025513,2.0871639490127563,20
cancer,OCEAN,10,5,2,0.9736842105263158,0.9777777777777777,0.9565217391304348,0.967032967032967,1.0,0.18844585675879097,0.42594893902772835,10.85,0.1831831932067871,14.358016014099121,0.7179008007049561,20
spambase,MACE,10,5,0,0.9326086956521739,0.9545454545454546,0.8795811518324608,0.9155313351498638,1.0,3.144927448021774,20.405902363066126,57.0,0.012086153030395508,46.33558487892151,2.3167792439460753,20
magic,MACE,10,5,0,0.831230283911672,0.8109418282548476,0.9606234618539786,0.8794592564776568,1.0,0.7315528848164308,1.8052190406561635,10.0,0.02317070960998535,45.96188163757324,2.298094081878662,20
spambase,OCEAN,10,5,3,0.9206521739130434,0.9415584415584416,0.8405797101449275,0.8882082695252679,1.0,0.004153542589681693,0.007576434626586167,7.75,0.24307465553283691,8.823953628540039,0.44119768142700194,20
vertebral,OCEAN,10,5,1,0.8064516129032258,0.8222222222222222,0.9024390243902439,0.8604651162790697,1.0,0.08333568647918808,0.13101865494192225,3.55,0.18268465995788574,20.7473783493042,1.0373689174652099,20
glass,OCEAN,10,5,1,0.7878787878787878,0.75,0.8823529411764706,0.8108108108108107,1.0,0.11934300084673544,0.24758527145302547,4.6,0.1964588165283203,23.35441017150879,1.1677205085754394,20
cancer,OCEAN,10,5,3,0.8859649122807017,0.8292682926829268,0.85,0.8395061728395061,1.0,0.19194993580934566,0.4563204340456707,11.9,0.18051552772521973,13.401481866836548,0.6700740933418274,20
magic,OCEAN,10,5,0,0.831230283911672,0.8109418282548476,0.9606234618539786,0.8794592564776568,1.0,0.16199582677728666,0.38156470978267676,6.75,0.531130313873291,51.62847399711609,2.5814236998558044,20
spambase,OCEAN,10,5,4,0.9173913043478261,0.940809968847352,0.841225626740947,0.888235294117647,1.0,0.004955406736931804,0.009391765681491108,7.35,0.24804973602294922,9.580888986587524,0.47904444932937623,20
spambase,OCEAN,10,5,5,0.9152173913043479,0.9439252336448598,0.8347107438016529,0.8859649122807018,1.0,0.007042713162689389,0.014327084951982552,7.45,0.2462308406829834,9.167923212051392,0.4583961606025696,20
glass,OCEAN,10,5,2,0.9090909090909091,0.8695652173913043,1.0,0.9302325581395349,1.0,0.029513537963605573,0.04488923892162232,3.7,0.19690179824829102,15.875621795654297,0.7937810897827149,20
cancer,OCEAN,10,5,4,0.9298245614035088,0.925,0.8809523809523809,0.9024390243902439,1.0,0.19241260409296293,0.49270705563731365,12.0,0.18145155906677246,16.526291847229004,0.8263145923614502,20
cancer,MACE,10,5,1,0.9473684210526315,0.9666666666666667,0.8529411764705882,0.90625,1.0,1.5067446951255832,6.695090458569412,30.0,0.004898786544799805,44.05902433395386,2.202951216697693,20
vertebral,OCEAN,10,5,2,0.9032258064516129,0.9130434782608695,0.9545454545454546,0.9333333333333332,1.0,0.10428113820195398,0.16654924894754178,3.45,0.18230462074279785,26.264643669128418,1.313232183456421,20
spambase,OCEAN,10,5,6,0.9097826086956522,0.9329268292682927,0.8337874659400545,0.8805755395683453,1.0,0.006334735499490761,0.012372088761703719,8.85,0.24502849578857422,9.319425582885742,0.4659712791442871,20
vertebral,RFOCSE,10,5,0,0.7741935483870968,0.7916666666666666,0.9047619047619048,0.8444444444444444,1.0,0.05524985688205537,0.06139052257726729,1.5,0.020795345306396484,49.51992845535278,2.475996422767639,20
