dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
spambase,FACETGBCC,100,3,4,0.9445652173913044,0.9450867052023122,0.9108635097493036,0.9276595744680852,1.0,0.02665099972511088,0.059682701026069006,8.6,17.884913682937622,1.3538579940795898,0.06769289970397949,20
adult,FACETGBCC,100,3,5,0.867330016583748,0.7802944507361268,0.6292237442922375,0.6966632962588473,1.0,0.08964539633161046,0.1296745283872904,2.35,16.194478034973145,4.471341371536255,0.22356706857681274,20
cancer,FACETGBCC,100,3,7,0.9736842105263158,0.9714285714285714,0.9444444444444444,0.9577464788732395,1.0,0.1811829663973747,0.4190296272010892,7.3,19.117277145385742,0.7221176624298096,0.036105883121490476,20
glass,FACETGBCC,100,3,9,0.9696969696969697,1.0,0.9444444444444444,0.9714285714285714,1.0,0.14616472980657064,0.26555221791141476,4.1,10.439634084701538,0.12252616882324219,0.006126308441162109,20
magic,FACETGBCC,100,3,4,0.8669821240799159,0.8596360935759376,0.9476054031927957,0.9014797507788161,1.0,0.12294483343479172,0.25162421866448986,5.35,16.229953050613403,0.17321109771728516,0.008660554885864258,20
vertebral,FACETGBCC,100,3,7,0.9354838709677419,0.9333333333333333,0.9767441860465116,0.9545454545454545,1.0,0.09325742205437937,0.11737868348920166,2.6,12.975554943084717,0.03981661796569824,0.001990830898284912,20
credit,FACETGBCC,100,3,6,0.8020253164556962,0.829560585885486,0.9402759810263045,0.881455280444669,1.0,0.16631821557095272,0.2526028616451569,4.45,15.394026517868042,2.452969551086426,0.12264847755432129,20
spambase,FACETGBCC,100,3,5,0.9467391304347826,0.953757225433526,0.9090909090909091,0.9308885754583921,1.0,0.03422694668328189,0.06930633694149842,8.8,16.825639247894287,0.949796199798584,0.0474898099899292,20
vertebral,FACETGBCC,100,3,8,0.8870967741935484,0.9069767441860465,0.9285714285714286,0.9176470588235294,1.0,0.07215199237640628,0.08984604950338158,2.5,12.462199211120605,0.01997518539428711,0.0009987592697143556,20
adult,FACETGBCC,100,3,6,0.8606965174129353,0.7794031597425395,0.6013544018058691,0.6788990825688073,1.0,0.08568455825734758,0.12221506644233267,2.65,15.769273042678833,5.225821495056152,0.2612910747528076,20
cancer,FACETGBCC,100,3,8,0.9736842105263158,0.9574468085106383,0.9782608695652174,0.967741935483871,1.0,0.23344945265380318,0.5715678778452252,8.1,15.42865514755249,1.042999505996704,0.052149975299835206,20
magic,FACETGBCC,100,3,5,0.8664563617245006,0.8559195830230827,0.95,0.900509204857031,1.0,0.08008791990838689,0.16154884745657963,4.65,16.603838205337524,0.14445018768310547,0.007222509384155274,20
credit,FACETGBCC,100,3,7,0.8077637130801688,0.8289969834087482,0.9498811838410024,0.8853317225410249,1.0,0.12601088669330748,0.1808789191317712,4.0,14.420195817947388,2.758413076400757,0.13792065382003785,20
vertebral,FACETGBCC,100,3,9,0.8709677419354839,0.9148936170212766,0.9148936170212766,0.9148936170212766,1.0,0.052177619576154965,0.06597233091221728,2.35,12.94776439666748,0.02111673355102539,0.0010558366775512695,20
spambase,FACETGBCC,100,3,6,0.9369565217391305,0.9352112676056338,0.9046321525885559,0.9196675900277008,1.0,0.023977544465484207,0.04915017908114879,7.3,18.725343465805054,0.9663698673248291,0.04831849336624146,20
cancer,FACETGBCC,100,3,9,0.9385964912280702,1.0,0.8372093023255814,0.9113924050632911,1.0,0.20466106528235128,0.5083166062407517,8.55,15.972976922988892,0.7802956104278564,0.039014780521392824,20
adult,FACETGBCC,100,3,7,0.8623548922056384,0.7965616045845272,0.6096491228070176,0.6906832298136646,1.0,0.16811726143357214,0.25996625857162275,2.75,16.110859632492065,6.768525838851929,0.33842629194259644,20
magic,FACETGBCC,100,3,6,0.8719768664563617,0.871699516548903,0.9428801287208367,0.9058937198067634,1.0,0.083515509379022,0.13579912145819997,4.7,15.790225982666016,0.04773068428039551,0.0023865342140197755,20
credit,FACETGBCC,100,3,8,0.8065822784810126,0.827416918429003,0.9497182488079757,0.8843592330978809,1.0,0.06832084775599387,0.10392289112032878,3.7,15.934085130691528,1.9371278285980225,0.09685639142990113,20
spambase,FACETGBCC,100,3,7,0.9434782608695652,0.9457142857142857,0.9093406593406593,0.927170868347339,1.0,0.026770094330351085,0.052511737605892374,6.6,15.562760353088379,1.7413129806518555,0.08706564903259277,20
magic,FACETGBCC,100,3,7,0.8740799158780231,0.8675182481751825,0.9534697152025672,0.9084655073571565,1.0,0.07955620187023615,0.1521720868065236,4.5,15.05379056930542,0.0477139949798584,0.00238569974899292,20
adult,FACETGBCC,100,3,8,0.8619126589275843,0.8015402843601895,0.5968239964711072,0.684197218710493,1.0,0.1403858361361877,0.1809802988474062,2.35,14.96386432647705,6.241197347640991,0.31205986738204955,20
credit,FACETGBCC,100,3,9,0.8062447257383967,0.8245614035087719,0.9524950969710176,0.8839231547017189,1.0,0.14504083126949144,0.24184061258121797,4.65,15.685313701629639,3.8375446796417236,0.19187723398208617,20
