dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,FACETIndex,200,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.458141061,17.55,40.50508642,4.210782528,0.210539126,20
glass,FACETIndex,100,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.098839989,5.6,18.2406621,0.343427896,0.017171395,20
glass,FACETIndex,200,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.114676347,6.1,34.94957948,0.589709997,0.0294855,20
vertebral,FACETIndex,10,0,5,0.774193548,0.791666667,0.904761905,0.844444444,1,0.058349433,1.85,3.513266802,0.022724867,0.001136243,20
vertebral,FACETIndex,10,5,5,0.806451613,0.846153846,0.846153846,0.846153846,1,0.032732786,1.9,4.264549494,0.021220446,0.001061022,20
glass,FACETIndex,300,6,5,0.878787879,0.933333333,0.823529412,0.875,1,0.167644636,6.05,51.14703393,0.76610589,0.038305295,20
vertebral,FACETIndex,50,0,5,0.806451613,0.826086957,0.904761905,0.863636364,1,0.067012313,2.65,14.16607332,0.038268805,0.00191344,20
vertebral,FACETIndex,50,5,5,0.822580645,0.833333333,0.897435897,0.864197531,1,0.054700366,3.3,14.23679566,0.05970192,0.002985096,20
glass,FACETIndex,200,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.114676347,6.1,34.58467507,0.588568449,0.029428422,20
cancer,FACETIndex,300,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.388822312,16.9,55.98359776,3.210442066,0.160522103,20
cancer,FACETIndex,300,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.465415466,17.95,55.44947481,4.404983044,0.220249152,20
spambase,FACETIndex,400,0,5,0.938043478,0.960339943,0.887434555,0.92244898,1,0.144130397,22,83.72098207,1.337264061,0.066863203,20
spambase,FACETIndex,400,5,5,0.926086957,0.965299685,0.842975207,0.9,1,0.174023187,21.9,83.71745777,1.302805424,0.065140271,20
vertebral,FACETIndex,100,0,5,0.822580645,0.829787234,0.928571429,0.876404494,1,0.074133701,3.7,23.09690619,0.046325684,0.002316284,20
vertebral,FACETIndex,100,5,5,0.806451613,0.813953488,0.897435897,0.853658537,1,0.060737923,3.85,23.12703323,0.051156998,0.00255785,20
magic,FACETIndex,500,0,5,0.838590957,0.819104269,0.96021329,0.884063444,1,0.250041141,8,99.34220958,0.658261299,0.032913065,20
glass,FACETIndex,300,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.115015778,6.35,51.07370162,0.680434704,0.034021735,20
magic,FACETIndex,500,5,5,0.833859096,0.806374229,0.97231405,0.881603597,1,0.134519708,6.9,99.91294956,0.28341794,0.014170897,20
magic,FACETIndex,10,1,5,0.844111462,0.830731877,0.958,0.88983838,1,0.097825596,3.3,3.860061646,0.026908398,0.00134542,20
magic,FACETIndex,10,6,5,0.8393796,0.82450675,0.958165728,0.886325581,1,0.082789615,3.1,3.846425772,0.024716854,0.001235843,20
glass,FACETIndex,300,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.115015778,6.35,50.33408546,0.672584772,0.033629239,20
magic,FACETIndex,50,1,5,0.844374343,0.827835052,0.9636,0.890573013,1,0.121188188,4.75,14.58703399,0.107412577,0.005370629,20
glass,FACETIndex,400,6,5,0.848484848,0.928571429,0.764705882,0.838709677,1,0.171401747,6.25,67.50595307,0.871834993,0.04359175,20
magic,FACETIndex,50,6,5,0.84831756,0.834794809,0.957361223,0.891886828,1,0.142185003,4.8,15.09454727,0.200909376,0.010045469,20
vertebral,FACETIndex,200,0,5,0.822580645,0.829787234,0.928571429,0.876404494,1,0.080603093,4.7,39.44413543,0.066361189,0.003318059,20
vertebral,FACETIndex,200,5,5,0.822580645,0.833333333,0.897435897,0.864197531,1,0.073524325,4.75,39.6052866,0.071063042,0.003553152,20
magic,FACETIndex,100,1,5,0.842534175,0.825625214,0.964,0.889463001,1,0.145972355,5.6,24.79969144,0.134707212,0.006735361,20
magic,FACETIndex,100,6,5,0.849106204,0.834968465,0.958567981,0.892509363,1,0.158241945,5.9,25.53621531,0.288854599,0.01444273,20
cancer,FACETIndex,400,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.402994901,18.5,72.05187106,3.437739372,0.171886969,20
cancer,FACETIndex,400,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.486561658,18.7,71.25864148,4.498022318,0.224901116,20
glass,FACETIndex,400,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.119995741,6.6,67.11079025,0.741340876,0.037067044,20
vertebral,FACETIndex,300,0,5,0.822580645,0.829787234,0.928571429,0.876404494,1,0.085787971,4.75,55.84049797,0.075526476,0.003776324,20
glass,FACETIndex,400,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.119995741,6.6,66.1981895,0.731916904,0.036595845,20
vertebral,FACETIndex,300,5,5,0.838709677,0.853658537,0.897435897,0.875,1,0.073767039,4.75,55.84687471,0.082762957,0.004138148,20
spambase,FACETIndex,500,0,5,0.940217391,0.96056338,0.892670157,0.925373134,1,0.152172692,21.7,101.9763858,1.374866962,0.068743348,20
spambase,FACETIndex,500,5,5,0.927173913,0.9625,0.848484848,0.901903367,1,0.182489593,22.5,101.1643913,1.385348797,0.06926744,20
magic,FACETIndex,200,1,5,0.84148265,0.824273504,0.9644,0.888847926,1,0.156574798,6.25,43.61279416,0.154726028,0.007736301,20
spambase,FACETIndex,10,1,5,0.92173913,0.933130699,0.859943978,0.895043732,1,0.009702245,5.1,8.964232683,0.179301977,0.008965099,20
spambase,FACETIndex,10,6,5,0.909782609,0.932926829,0.833787466,0.88057554,1,0.009897502,5.35,7.800284386,0.39765811,0.019882905,20
magic,FACETIndex,200,6,5,0.850157729,0.835434174,0.959774739,0.89329839,1,0.165450885,6.8,44.74740076,0.33043623,0.016521811,20
